% Model:              Thin film.mph
% Version:            COMSOL 5.3.1.275
% Date:               Jul 27 2021, 12:07
% Dimension:          1
% Nodes:              95
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
-1.5E-6                   2.499999999999404E7
-1.4376249634548017E-6    2.499999999999404E7
-1.376940748812741E-6     2.499999999997616E7
-1.3752499269096027E-6    2.500000000001192E7
-1.3735119942590478E-6    2.5000000000045974E7
-1.3128748903644032E-6    2.5000000000047684E7
-1.2538814976254808E-6    2.4999999999958277E7
-1.2504985267657443E-6    2.4999999999948602E7
-1.2470449648079105E-6    2.49999999999968E7
-1.1882136976958506E-6    2.5000000000056624E7
-1.1301385882103248E-6    2.4999999999991585E7
-1.1259291716345242E-6    2.500000000000242E7
-1.1216649470269306E-6    2.4999999999963865E7
-1.0636446455731973E-6    2.499999999999404E7
-1.0063700784133473E-6    2.500000000001192E7
-1.0013601195118706E-6    2.499999999997616E7
-9.963352789922353E-7     2.4999999999997724E7
-9.393516186841692E-7     2.500000000001195E7
-8.824772440315459E-7     2.4999999999996416E7
-8.773431178564675E-7     2.4999999999929465E7
-8.721991263185156E-7     2.4999999999951657E7
-8.15334617028766E-7      2.499999999988284E7
-7.585791648816351E-7     2.4999999999922514E7
-7.533246877794186E-7     2.499999999986887E7
-7.480652928093475E-7     2.4999999999972247E7
-6.914217111158341E-7     2.500000000002086E7
-6.34898148430267E-7      2.5000000000015914E7
-6.29514104191548E-7      2.5000000000004098E7
-6.241186277709641E-7     2.4999999999982864E7
-5.676064972672618E-7     2.5000000000029802E7
-5.11214107246721E-7      2.499999999999404E7
-5.056988903429756E-7     2.499999999999213E7
-5.001853472607818E-7     2.4999999999997232E7
-4.43883847735272E-7      2.4999999999976184E7
-3.8759729867785865E-7    2.499999999999663E7
-3.8206880512756823E-7    2.4999999999998666E7
-3.765388431346777E-7     2.4999999999936685E7
-3.2025376251986447E-7    2.500000000002116E7
-2.639836280132214E-7     2.4999999999940395E7
-2.5843531088228965E-7    2.4999999999940395E7
-2.528503777151552E-7     2.5000000000121567E7
-1.9648207112046001E-7    2.5000000000163913E7
-1.4017848305134606E-7    2.499999999998827E7
-1.3452607669304337E-7    2.5000000000029802E7
-1.2886717313948118E-7    2.5000000000043213E7
-7.257008226562669E-8     2.500000000002086E7
-1.6337628151965577E-8    2.5000000000029802E7
-1.0614087838210051E-8    2.500000000001192E7
-4.8889193968473904E-9    2.5000000000047684E7
5.138426768925912E-8      2.500000000002086E7
1.0776715712973007E-7     2.49999999999602E7
1.1338262321672825E-7     2.5000000000051036E7
1.1898716347398075E-7     2.4999999999969453E7
1.7538097874419743E-7     2.499999999999404E7
2.3188473152865642E-7     2.4999999999966476E7
2.3737849602144962E-7     2.4999999999904633E7
2.428727970610785E-7      2.5000000000047684E7
2.9968650204062E-7        2.4999999999953248E7
3.5672065330423006E-7     2.4999999999947626E7
3.619927177279571E-7      2.499999999996466E7
3.6724440476399914E-7     2.49999999999262E7
4.242989334152942E-7      2.4999999999994062E7
4.81574842785115E-7       2.500000000003828E7
4.866051491026315E-7      2.5000000000041265E7
4.916441096962975E-7      2.5000000000065565E7
5.493727272210803E-7      2.500000000001192E7
6.075332934505231E-7      2.4999999999940176E7
6.12140305339529E-7       2.500000000001192E7
6.167131017291541E-7      2.5000000000087917E7
6.749078834579778E-7      2.500000000000298E7
7.335381019192844E-7      2.499999999996948E7
7.37673928535572E-7       2.4999999999984358E7
7.417883272709169E-7      2.499999999997616E7
8.008712456711963E-7      2.5000000000003207E7
8.60528682770326E-7       2.4999999999998085E7
8.640672137411834E-7      2.5000000000025455E7
8.675716676160732E-7      2.5000000000022694E7
9.272631818111706E-7      2.5000000000029806E7
9.875351326535472E-7      2.499999999998663E7
9.904591498811574E-7      2.500000000001192E7
9.933696209531196E-7      2.499999999997616E7
1.0540377170576498E-6     2.49999999999851E7
1.1154193447107604E-6     2.5000000000035882E7
1.1176162842341422E-6     2.499999999999795E7
1.1197876854047595E-6     2.5000000000027567E7
1.1811948514106345E-6     2.5000000000101328E7
1.2433242413376068E-6     2.5000000000001006E7
1.2447731336644003E-6     2.5000000000003025E7
1.246207973021068E-6      2.4999999999904633E7
1.3085799424275587E-6     2.5000000000047684E7
1.37166111332618E-6       2.500000000001192E7
1.3723866282850393E-6     2.500000000006957E7
1.3731039865105333E-6     2.5000000000031147E7
1.4361933141425192E-6     2.499999999999404E7
1.5E-6                    2.500000000001192E7
